,date,open,high,low,close,volume,quote_volume
0,2025-01-22 17:15:00,104976.3,104995.7,104938.8,104995.7,44.906,4713294.5651
1,2025-01-22 17:16:00,104995.7,105019.1,104976.2,104981.1,37.054,3890587.2719
2,2025-01-22 17:17:00,104957.0,105020.0,104957.0,104983.5,38.457,4037481.9168
3,2025-01-22 17:18:00,104969.2,105016.9,104964.3,104985.8,35.291,3705242.7709
4,2025-01-22 17:19:00,104948.8,104956.9,104913.4,104950.0,29.208,3064855.9285
5,2025-01-22 17:20:00,104957.9,105101.3,104954.0,105053.1,200.635,21076744.0549
6,2025-01-22 17:21:00,105038.3,105090.3,105032.9,105078.8,122.816,12902497.7262
7,2025-01-22 17:22:00,105075.0,105135.5,105075.0,105100.5,81.074,8521363.0323
8,2025-01-22 17:23:00,105100.4,105100.5,105070.2,105070.2,34.15,3588718.1947
9,2025-01-22 17:24:00,105070.2,105070.3,105025.0,105044.2,37.595,3949141.8379
10,2025-01-22 17:26:00,105047.8,105047.9,105047.8,105047.8,0.008,840.3826
11,2025-01-22 17:27:00,104987.0,104987.1,104976.3,104976.4,1.49,156420.8497
12,2025-01-22 17:28:00,104999.0,104999.0,104998.9,104999.0,0.062,6509.9359
13,2025-01-22 17:29:00,104998.9,105015.3,104998.8,104998.8,7.272,763624.8878
14,2025-01-22 17:30:00,104991.7,104996.0,104988.6,104996.0,3.15,330721.1131
15,2025-01-22 17:31:00,104971.0,105032.1,104971.0,105009.9,14.203,1491234.3149
16,2025-01-22 17:32:00,105037.3,105046.0,105033.2,105037.4,11.696,1228552.7455
17,2025-01-22 17:33:00,105000.0,105003.5,104990.2,105003.5,5.599,587880.8597
18,2025-01-22 17:34:00,105036.1,105047.0,105036.0,105042.0,13.276,1394535.938
19,2025-01-22 17:35:00,105001.3,105001.4,105001.3,105001.4,3.611,379159.7231
20,2025-01-22 17:36:00,104943.0,104961.5,104942.9,104953.3,19.893,2087809.171
21,2025-01-22 17:37:00,105010.3,105010.3,104998.5,104998.6,4.825,506654.6582
22,2025-01-22 17:38:00,104984.9,105010.3,104959.7,105010.2,19.467,2043694.4865
23,2025-01-22 17:39:00,105010.2,105020.1,105010.2,105020.1,13.877,1457275.649
24,2025-01-22 17:40:00,104979.7,104980.3,104963.8,104980.3,27.95,2934071.2956
25,2025-01-22 17:41:00,104991.5,105182.9,104991.4,105182.8,52.515,5519340.106
26,2025-01-22 17:42:00,105110.9,105128.8,105105.8,105128.8,18.703,1965982.6958
27,2025-01-22 17:43:00,105088.1,105102.0,105088.0,105102.0,17.246,1812553.2428
28,2025-01-22 17:44:00,105125.3,105138.4,105120.0,105138.3,27.734,2915590.8613
29,2025-01-22 17:45:00,105168.3,105173.4,105120.2,105126.7,55.79,5865825.3791
30,2025-01-22 17:46:00,105114.6,105130.3,105068.2,105068.2,25.163,2644872.3074
31,2025-01-22 17:47:00,105088.4,105110.9,105088.3,105091.2,10.322,1084837.9538
32,2025-01-22 17:48:00,105047.9,105047.9,105029.5,105032.1,18.657,1959636.7338
33,2025-01-22 17:49:00,105058.7,105071.1,105058.6,105066.0,8.548,898072.956
