date,a,b
2022-01-03 08:49:00, 47116.02, 47169.5175
2022-01-03 09:01:00, 47085.08, 47169.5175
2022-01-03 09:08:00, 47085.08, 47145.612
2022-01-03 09:24:00, 47050.55333333333, 47145.612
2022-01-03 09:26:00, 47040.665, 47145.612
2022-01-03 09:36:00, 47035.534, 47145.612
2022-01-03 09:39:00, 47035.534, 47130.175
2022-01-03 09:41:00, 47031.02333333333, 47130.175
2022-01-03 09:46:00, 47031.02333333333, 47107.684285714284
2022-01-03 09:48:00, 47024.24, 47107.684285714284
2022-01-03 09:51:00, 47020.988750000004, 47107.684285714284
2022-01-03 10:03:00, 47020.988750000004, 47105.93
2022-01-03 10:08:00, 47013.17222222222, 47105.93
2022-01-03 10:11:00, 47013.17222222222, 47086.09777777778
2022-01-03 10:13:00, 47004.902, 47086.09777777778
2022-01-03 10:14:00, 47004.902, 47070.448000000004
2022-01-03 10:16:00, 47004.902, 47054.248181818184
2022-01-03 10:21:00, 47004.902, 47048.655
2022-01-03 10:26:00, 47004.902, 47042.843076923076
2022-01-03 10:39:00, 47004.902, 47040.355
2022-01-03 10:48:00, 47004.902, 47031.24933333333
2022-01-03 10:49:00, 46995.58454545455, 47031.24933333333
2022-01-03 10:52:00, 46989.098333333335, 47031.24933333333
2022-01-03 11:01:00, 46989.098333333335, 47032.215625
2022-01-03 11:03:00, 46989.098333333335, 47033.67411764706
2022-01-03 11:16:00, 46982.54615384615, 47033.67411764706
2022-01-03 11:19:00, 46975.73857142857, 47033.67411764706
2022-01-03 11:31:00, 46975.73857142857, 47029.03611111111
2022-01-03 11:40:00, 46965.134, 47029.03611111111
2022-01-03 11:43:00, 46954.495, 47029.03611111111
2022-01-03 11:45:00, 46954.495, 47013.82473684211
2022-01-03 11:46:00, 46944.13294117647, 47013.82473684211
2022-01-03 11:53:00, 46944.13294117647, 47003.6215
2022-01-03 11:57:00, 46937.21944444445, 47003.6215
2022-01-03 12:04:00, 46929.71894736842, 47003.6215
2022-01-03 12:11:00, 46929.71894736842, 46996.88904761905
2022-01-03 12:13:00, 46926.3975, 46996.88904761905
