date,a,b
2025-01-25 13:06:00, 104622.6, 104540.1
2025-01-25 13:08:00, 104622.6, 104536.8
2025-01-25 13:10:00, 104622.6, 104494.90000000001
2025-01-25 13:13:00, 104522.35, 104494.90000000001
2025-01-25 13:15:00, 104522.35, 104464.425
2025-01-25 13:17:00, 104492.8, 104464.425
2025-01-25 13:19:00, 104489.4, 104464.425
2025-01-25 13:26:00, 104504.6, 104464.425
2025-01-25 13:28:00, 104518.18333333333, 104464.425
2025-01-25 13:29:00, 104518.18333333333, 104487.98
2025-01-25 13:31:00, 104518.18333333333, 104490.13333333333
2025-01-25 13:32:00, 104521.88571428572, 104490.13333333333
2025-01-25 13:33:00, 104521.88571428572, 104500.65714285715
2025-01-25 13:46:00, 104521.88571428572, 104501.0875
2025-01-25 13:47:00, 104521.675, 104501.0875
2025-01-25 13:54:00, 104508.15555555555, 104501.0875
2025-01-25 13:56:00, 104508.15555555555, 104475.93333333333
2025-01-25 13:58:00, 104487.34, 104475.93333333333
2025-01-25 13:59:00, 104487.34, 104459.37
2025-01-25 14:10:00, 104487.34, 104452.34545454546
2025-01-25 14:15:00, 104487.34, 104448.79166666667
2025-01-25 14:20:00, 104487.34, 104430.27692307692
2025-01-25 14:22:00, 104462.87272727273, 104430.27692307692
2025-01-25 14:24:00, 104462.87272727273, 104417.70714285715
2025-01-25 14:26:00, 104462.87272727273, 104405.46666666667
2025-01-25 14:31:00, 104462.87272727273, 104397.425
2025-01-25 14:33:00, 104448.60833333334, 104397.425
2025-01-25 14:34:00, 104448.60833333334, 104388.15882352942
2025-01-25 14:35:00, 104431.56153846154, 104388.15882352942
2025-01-25 14:37:00, 104431.56153846154, 104380.66111111111
2025-01-25 14:39:00, 104431.56153846154, 104373.7947368421
2025-01-25 14:45:00, 104431.56153846154, 104370.105
2025-01-25 14:47:00, 104418.90714285715, 104370.105
2025-01-25 14:48:00, 104418.90714285715, 104362.76666666666
2025-01-25 14:50:00, 104406.01333333334, 104362.76666666666
2025-01-25 14:52:00, 104396.05625, 104362.76666666666
2025-01-25 14:54:00, 104396.05625, 104356.37272727273
2025-01-25 15:00:00, 104396.05625, 104351.31304347827
2025-01-25 15:01:00, 104387.97647058824, 104351.31304347827
2025-01-25 15:04:00, 104387.97647058824, 104349.55
2025-01-25 15:10:00, 104384.92222222222, 104349.55
2025-01-25 15:17:00, 104384.92222222222, 104350.64
2025-01-25 15:19:00, 104384.77894736842, 104350.64
2025-01-25 15:21:00, 104384.77894736842, 104351.5423076923
2025-01-25 15:22:00, 104385.22, 104351.5423076923
2025-01-25 15:31:00, 104387.27619047619, 104351.5423076923
2025-01-25 15:33:00, 104387.27619047619, 104354.77407407407
2025-01-25 15:36:00, 104387.27619047619, 104356.72142857143
2025-01-25 15:41:00, 104384.7590909091, 104356.72142857143
2025-01-25 15:43:00, 104383.02608695652, 104356.72142857143
2025-01-25 15:49:00, 104383.02608695652, 104357.0
2025-01-25 15:50:00, 104383.9375, 104357.0
2025-01-25 15:51:00, 104383.9375, 104358.11333333334
2025-01-25 15:54:00, 104384.112, 104358.11333333334
2025-01-25 16:01:00, 104380.66153846154, 104356.05806451612
2025-01-25 16:03:00, 104380.66153846154, 104355.21875
2025-01-25 16:09:00, 104381.77037037037, 104355.21875
2025-01-25 16:13:00, 104381.84642857143, 104355.21875
2025-01-25 16:18:00, 104382.64137931034, 104355.21875
2025-01-25 16:21:00, 104382.64137931034, 104357.53333333334
2025-01-25 16:30:00, 104379.56, 104357.53333333334
2025-01-25 16:31:00, 104379.56, 104354.48235294118
2025-01-25 16:33:00, 104375.5, 104354.48235294118
2025-01-25 16:35:00, 104375.5, 104352.08571428571
2025-01-25 16:39:00, 104371.26875, 104352.08571428571
2025-01-25 16:41:00, 104371.26875, 104348.45833333333
2025-01-25 16:42:00, 104368.94242424243, 104348.45833333333
2025-01-25 16:53:00, 104364.26176470588, 104348.45833333333
2025-01-25 16:57:00, 104361.58285714286, 104348.45833333333
2025-01-25 17:01:00, 104361.58285714286, 104346.32432432432
2025-01-25 17:03:00, 104361.58285714286, 104345.32368421053
2025-01-25 17:05:00, 104361.58285714286, 104343.99230769232
2025-01-25 17:10:00, 104361.58285714286, 104342.8925
2025-01-25 17:19:00, 104361.58285714286, 104342.26585365854
2025-01-25 17:20:00, 104360.45833333333, 104342.26585365854
2025-01-25 17:23:00, 104360.43243243243, 104342.26585365854
2025-01-25 17:24:00, 104360.43243243243, 104342.35476190476
2025-01-25 17:28:00, 104359.03684210526, 104342.35476190476
2025-01-25 17:33:00, 104359.03684210526, 104342.6511627907
2025-01-25 17:34:00, 104360.08461538462, 104342.6511627907
2025-01-25 17:36:00, 104360.08461538462, 104343.45681818182
2025-01-25 18:15:00, 104360.08461538462, 104341.82666666668
2025-01-25 18:17:00, 104357.44, 104341.82666666668
2025-01-25 18:20:00, 104357.44, 104340.98695652174
2025-01-25 18:21:00, 104357.23414634146, 104340.98695652174
2025-01-25 18:22:00, 104357.23414634146, 104340.1085106383
2025-01-25 18:23:00, 104356.30952380953, 104340.1085106383
2025-01-25 18:28:00, 104353.4976744186, 104340.1085106383
2025-01-25 18:38:00, 104353.4976744186, 104340.80416666667
2025-01-25 18:44:00, 104354.55454545455, 104340.80416666667
2025-01-25 18:46:00, 104355.84666666666, 104340.80416666667
2025-01-25 18:50:00, 104355.84666666666, 104345.06734693877
2025-01-25 18:52:00, 104355.84666666666, 104348.10800000001
2025-01-25 18:55:00, 104359.90652173913, 104348.10800000001
2025-01-25 18:56:00, 104359.90652173913, 104351.18235294118
2025-01-25 18:58:00, 104362.91914893617, 104351.18235294118
2025-01-25 18:59:00, 104362.91914893617, 104353.8423076923
2025-01-25 19:01:00, 104366.02083333333, 104353.8423076923
2025-01-25 19:03:00, 104369.00612244898, 104356.8320754717
2025-01-25 19:09:00, 104372.268, 104356.8320754717
2025-01-25 22:37:00, 104372.268, 104360.01851851853
2025-01-25 22:41:00, 104374.00588235294, 104360.01851851853
2025-01-25 22:47:00, 104374.00588235294, 104363.07454545454
2025-01-25 22:49:00, 104374.00588235294, 104365.08035714286
2025-01-25 22:52:00, 104375.6576923077, 104365.08035714286
2025-01-25 22:54:00, 104375.6576923077, 104366.65438596491
2025-01-25 22:55:00, 104377.81320754717, 104366.65438596491
2025-01-25 22:58:00, 104377.81320754717, 104369.92586206897
2025-01-25 23:01:00, 104383.43703703703, 104375.20677966102
2025-01-25 23:04:00, 104383.43703703703, 104379.18666666666
2025-01-25 23:07:00, 104383.43703703703, 104383.77377049181
2025-01-25 23:10:00, 104388.4709090909, 104383.77377049181
2025-01-25 23:11:00, 104388.4709090909, 104387.92580645162
2025-01-25 23:15:00, 104388.4709090909, 104395.50793650794
2025-01-25 23:17:00, 104396.56071428572, 104395.50793650794
2025-01-25 23:18:00, 104396.56071428572, 104401.8421875
2025-01-25 23:19:00, 104405.38070175439, 104401.8421875
2025-01-25 23:25:00, 104405.38070175439, 104410.46307692307
2025-01-25 23:27:00, 104415.29137931035, 104410.46307692307
2025-01-25 23:29:00, 104415.29137931035, 104417.46212121213
2025-01-25 23:31:00, 104415.29137931035, 104424.66268656717
2025-01-25 23:34:00, 104415.29137931035, 104432.425
2025-01-25 23:36:00, 104415.29137931035, 104439.33623188405
2025-01-25 23:37:00, 104423.50508474576, 104439.33623188405
2025-01-25 23:40:00, 104423.50508474576, 104444.89142857143
2025-01-25 23:43:00, 104429.41, 104444.89142857143
2025-01-25 23:45:00, 104429.41, 104449.07605633803
2025-01-25 23:47:00, 104434.54098360655, 104449.07605633803
