date,a,b
2022-01-02 08:04:00, 47660.05, 47660.05
2022-01-02 08:08:00, 47630.025, 47660.05
2022-01-02 08:21:00, 47562.08, 47660.05
2022-01-02 08:27:00, 47547.9325, 47660.05
2022-01-02 08:29:00, 47547.9325, 47600.605
2022-01-02 08:39:00, 47567.836, 47600.605
2022-01-02 08:45:00, 47567.836, 47605.71
2022-01-02 08:46:00, 47578.945, 47605.71
2022-01-02 08:53:00, 47585.34, 47605.71
2022-01-02 08:55:00, 47591.63375, 47605.71
2022-01-02 08:58:00, 47596.137777777774, 47605.71
2022-01-02 09:00:00, 47596.137777777774, 47610.1625
2022-01-02 09:04:00, 47590.307, 47610.1625
2022-01-02 09:06:00, 47590.307, 47592.502
2022-01-02 09:09:00, 47590.307, 47579.5
2022-01-02 09:10:00, 47585.785454545454, 47579.5
2022-01-02 09:15:00, 47577.35916666667, 47579.5
2022-01-02 09:20:00, 47577.35916666667, 47560.01285714286
2022-01-02 09:21:00, 47568.21076923077, 47560.01285714286
2022-01-02 09:24:00, 47568.21076923077, 47547.455
2022-01-02 09:26:00, 47560.02785714286, 47547.455
2022-01-02 09:28:00, 47560.02785714286, 47536.62777777778
2022-01-02 09:29:00, 47552.95133333333, 47536.62777777778
2022-01-02 09:32:00, 47552.95133333333, 47524.609
2022-01-02 09:34:00, 47544.845625, 47524.609
2022-01-02 09:36:00, 47535.409411764704, 47524.609
2022-01-02 09:38:00, 47526.17444444444, 47524.609
2022-01-02 09:46:00, 47526.17444444444, 47511.41545454546
2022-01-02 09:47:00, 47518.59263157895, 47511.41545454546
2022-01-02 09:53:00, 47509.9735, 47511.41545454546
2022-01-02 09:55:00, 47501.678095238094, 47511.41545454546
2022-01-02 09:57:00, 47495.42, 47511.41545454546
2022-01-02 10:02:00, 47489.05260869565, 47511.41545454546
2022-01-02 10:12:00, 47489.05260869565, 47504.21833333334
2022-01-02 10:17:00, 47486.17375, 47497.736923076925
2022-01-02 10:21:00, 47486.17375, 47490.44714285714
2022-01-02 10:24:00, 47486.17375, 47484.49
2022-01-02 10:32:00, 47479.1436, 47484.49
2022-01-02 10:36:00, 47479.1436, 47473.284375
2022-01-02 10:41:00, 47479.1436, 47468.602352941176
2022-01-02 10:42:00, 47476.05961538461, 47468.602352941176
2022-01-02 10:45:00, 47472.566296296296, 47468.602352941176
2022-01-02 10:57:00, 47472.566296296296, 47464.77111111111
2022-01-02 11:19:00, 47465.9025, 47464.77111111111
2022-01-02 11:25:00, 47461.698965517244, 47464.77111111111
2022-01-02 11:27:00, 47461.698965517244, 47459.85105263158
2022-01-02 11:35:00, 47461.30333333333, 47459.85105263158
2022-01-02 11:36:00, 47461.30333333333, 47458.2865
2022-01-02 11:40:00, 47459.72580645161, 47458.2865
2022-01-02 11:44:00, 47459.72580645161, 47455.50571428571
2022-01-02 11:54:00, 47459.72580645161, 47449.24772727273
2022-01-02 11:57:00, 47459.72580645161, 47444.723913043475
2022-01-02 12:01:00, 47455.394375, 47444.723913043475
2022-01-02 12:04:00, 47452.03393939394, 47444.723913043475
2022-01-02 12:13:00, 47452.03393939394, 47442.04791666667
2022-01-02 12:20:00, 47448.239117647056, 47442.04791666667
2022-01-02 12:40:00, 47445.81257142857, 47442.04791666667
2022-01-02 12:43:00, 47437.429444444446, 47442.04791666667
2022-01-02 12:46:00, 47425.63594594595, 47442.04791666667
2022-01-02 12:49:00, 47413.11921052632, 47442.04791666667
2022-01-02 12:51:00, 47413.11921052632, 47419.6632
2022-01-02 12:52:00, 47400.318974358976, 47419.6632
2022-01-02 13:01:00, 47388.4465, 47419.6632
2022-01-02 13:03:00, 47388.4465, 47401.19730769231
2022-01-02 13:07:00, 47388.4465, 47385.72666666667
2022-01-02 13:09:00, 47388.4465, 47370.271785714285
2022-01-02 13:12:00, 47388.4465, 47355.19379310345
2022-01-02 13:17:00, 47375.64317073171, 47355.19379310345
2022-01-02 13:24:00, 47365.29047619048, 47355.19379310345
2022-01-02 13:30:00, 47356.63418604651, 47355.19379310345
2022-01-02 13:33:00, 47356.63418604651, 47343.99933333333
2022-01-02 13:36:00, 47356.63418604651, 47332.22774193549
2022-01-02 13:41:00, 47356.63418604651, 47320.8159375
2022-01-02 13:45:00, 47356.63418604651, 47309.77484848485
2022-01-02 13:47:00, 47356.63418604651, 47298.73117647059
2022-01-02 13:55:00, 47348.93090909091, 47298.73117647059
2022-01-02 14:00:00, 47348.93090909091, 47291.243714285716
2022-01-02 14:05:00, 47341.64844444444, 47291.243714285716
2022-01-02 14:08:00, 47335.37391304348, 47284.626388888886
2022-01-02 14:10:00, 47330.202978723406, 47284.626388888886
2022-01-02 14:11:00, 47330.202978723406, 47278.585945945946
2022-01-02 14:16:00, 47325.615625, 47278.585945945946
2022-01-02 14:18:00, 47325.615625, 47274.85315789474
2022-01-02 14:32:00, 47321.0112244898, 47274.85315789474
2022-01-02 14:34:00, 47317.193400000004, 47274.85315789474
2022-01-02 14:35:00, 47317.193400000004, 47270.92487179487
2022-01-02 14:38:00, 47317.193400000004, 47267.28075
2022-01-02 14:40:00, 47313.62333333334, 47267.28075
2022-01-02 14:41:00, 47313.62333333334, 47263.4887804878
2022-01-02 14:45:00, 47313.62333333334, 47262.454047619045
2022-01-02 14:51:00, 47313.62333333334, 47260.4111627907
2022-01-02 14:59:00, 47309.947692307695, 47260.4111627907
2022-01-02 15:00:00, 47309.947692307695, 47256.64659090909
2022-01-02 15:06:00, 47309.947692307695, 47254.38733333333
2022-01-02 15:12:00, 47309.947692307695, 47252.14
2022-01-02 15:15:00, 47307.034716981136, 47252.14
