date,a,b
2025-01-22 17:21:00, 105019.45000000001, 105078.8
2025-01-22 17:23:00, 105019.45000000001, 105074.5
2025-01-22 17:26:00, 105028.90000000001, 105074.5
2025-01-22 17:28:00, 105021.425, 105074.5
2025-01-22 17:30:00, 105021.425, 105048.33333333333
2025-01-22 17:32:00, 105024.62, 105048.33333333333
2025-01-22 17:33:00, 105024.62, 105037.125
2025-01-22 17:34:00, 105027.51666666666, 105037.125
2025-01-22 17:35:00, 105027.51666666666, 105029.98
2025-01-22 17:37:00, 105023.38571428572, 105029.98
2025-01-22 17:39:00, 105022.975, 105029.98
2025-01-22 17:40:00, 105022.975, 105021.7
2025-01-22 17:41:00, 105040.73333333334, 105021.7
2025-01-22 17:42:00, 105040.73333333334, 105037.0
2025-01-22 17:44:00, 105050.49, 105037.0
2025-01-22 17:46:00, 105050.49, 105040.9
2025-01-22 17:47:00, 105054.19090909092, 105040.9
2025-01-22 17:49:00, 105055.175, 105040.9
2025-01-22 17:51:00, 105055.175, 105032.33333333333
2025-01-22 17:53:00, 105048.26923076923, 105032.33333333333
2025-01-22 17:58:00, 105048.26923076923, 105023.92
2025-01-22 18:01:00, 105048.26923076923, 105004.4
2025-01-22 18:03:00, 105035.1, 105004.4
2025-01-22 18:07:00, 105019.56666666667, 105004.4
2025-01-22 18:08:00, 105019.56666666667, 104986.61666666667
2025-01-22 18:10:00, 105005.5625, 104986.61666666667
2025-01-22 18:12:00, 104992.01176470588, 104986.61666666667
2025-01-22 18:19:00, 104992.01176470588, 104976.73846153847
2025-01-22 18:22:00, 104992.01176470588, 104963.37857142858
2025-01-22 18:24:00, 104987.35555555555, 104963.37857142858
2025-01-22 18:27:00, 104987.35555555555, 104963.04666666666
2025-01-22 18:29:00, 104986.3947368421, 104963.04666666666
2025-01-22 18:33:00, 104986.3947368421, 104963.1125
2025-01-22 18:42:00, 104986.3947368421, 104965.22352941177
2025-01-22 18:43:00, 104990.0, 104965.22352941177
2025-01-22 18:44:00, 104990.0, 104968.33888888889
2025-01-22 18:46:00, 104990.0, 104969.0
2025-01-22 18:51:00, 104990.0, 104973.215
2025-01-22 18:56:00, 104990.0, 104979.76666666666
2025-01-22 18:58:00, 104996.04761904762, 104979.76666666666
2025-01-22 18:59:00, 104996.04761904762, 104986.39090909091
