,date,open,high,low,close,volume,quote_volume
0,2025-01-17 17:03:00,102038.1,102086.0,102025.8,102077.0,104.901,10705363.9077
0,2025-01-17 17:04:00,102077.0,102234.5,102077.0,102182.4,171.427,17516959.475
0,2025-01-17 17:05:00,102140.1,102166.1,102060.0,102139.3,107.474,10975738.7803
0,2025-01-17 17:06:00,102139.2,102216.6,102139.2,102213.6,92.542,9455786.4174
0,2025-01-17 17:07:00,102213.7,102219.7,102168.4,102175.8,110.247,11266769.9296
0,2025-01-17 17:08:00,102175.8,102200.0,102153.7,102177.3,118.883,12147921.8653
0,2025-01-17 17:09:00,102177.3,102220.0,102167.3,102208.5,84.324,8617646.0902
0,2025-01-17 17:10:00,102220.0,102249.9,102170.1,102222.3,242.997,24839338.1238
0,2025-01-17 17:11:00,102222.4,102232.2,102084.6,102095.4,235.862,24094058.5932
0,2025-01-17 17:12:00,102095.5,102240.8,102095.5,102200.5,105.913,10823479.3054
0,2025-01-17 17:13:00,102200.5,102208.9,102171.2,102171.6,66.599,6806245.5164
0,2025-01-17 17:14:00,102171.5,102171.6,102129.1,102129.1,56.426,5764010.697
0,2025-01-17 17:16:00,102094.1,102094.1,102060.1,102064.9,103.383,10552486.4133
0,2025-01-17 17:17:00,102064.9,102067.0,102014.7,102014.7,123.095,12560098.5062
0,2025-01-17 17:18:00,102014.7,102061.2,102000.2,102006.1,130.555,13319213.9886
0,2025-01-17 17:19:00,102006.1,102015.1,101953.9,101976.2,305.169,31121201.0524
0,2025-01-17 17:20:00,101976.1,101976.1,101970.9,101970.9,1.636,166832.6894
0,2025-01-17 17:21:00,102007.0,102042.5,101999.5,102011.4,97.901,9988034.8419
0,2025-01-17 17:22:00,102011.5,102031.9,101979.5,101991.2,77.075,7862179.6222
0,2025-01-17 17:23:00,101991.3,101999.9,101955.3,101971.3,78.896,8045318.8174
0,2025-01-17 17:24:00,101971.3,101995.5,101966.2,101991.1,67.067,6839207.9919
0,2025-01-17 17:25:00,101991.2,101991.2,101967.2,101967.2,5.822,593725.266
0,2025-01-17 17:26:00,101981.8,102018.0,101960.8,101965.0,106.731,10885261.5571
0,2025-01-17 17:27:00,101964.9,102056.0,101964.9,101987.0,251.429,25647444.8018
0,2025-01-17 17:28:00,101987.0,102021.3,101958.0,101966.6,98.485,10044173.1677
0,2025-01-17 17:29:00,101966.6,101975.2,101928.3,101968.8,63.04,6426637.8631
0,2025-01-17 17:30:00,101968.8,101991.0,101968.8,101983.8,20.346,2074859.1826
0,2025-01-17 17:31:00,101934.3,101966.9,101908.0,101908.0,74.746,7618779.2606
0,2025-01-17 17:32:00,101908.0,101908.1,101824.5,101864.0,199.437,20314713.3793
0,2025-01-17 17:33:00,101864.0,101887.2,101822.8,101847.8,83.175,8471917.8589
0,2025-01-17 17:34:00,101847.8,101851.2,101813.5,101823.8,57.114,5815681.1122
0,2025-01-17 17:35:00,101823.7,101844.4,101823.7,101833.9,27.108,2760520.3419
0,2025-01-17 17:36:00,101856.8,101856.9,101795.8,101856.9,143.744,14635213.1533
0,2025-01-17 17:37:00,101856.8,101871.6,101808.3,101808.3,43.222,4402064.4504
0,2025-01-17 17:38:00,101808.4,101859.2,101792.6,101792.7,75.678,7705638.4235
0,2025-01-17 17:39:00,101792.6,101821.2,101792.6,101811.0,69.889,7115012.7093
0,2025-01-17 17:40:00,101811.0,101818.2,101800.0,101813.1,23.347,2376923.8696
0,2025-01-17 17:41:00,101841.8,101857.0,101837.5,101851.0,40.943,4169903.7942
0,2025-01-17 17:42:00,101851.0,101883.5,101850.0,101882.1,68.087,6935953.1435
0,2025-01-17 17:43:00,101882.2,101882.2,101741.4,101749.9,288.438,29356501.4786
0,2025-01-17 17:44:00,101750.0,101781.5,101741.0,101755.2,243.188,24745590.4327
0,2025-01-17 17:45:00,101755.2,101824.3,101755.1,101817.2,51.084,5200312.8292
0,2025-01-17 17:46:00,101817.2,101817.2,101755.2,101755.3,52.262,5319050.7062
0,2025-01-17 17:47:00,101755.3,101792.1,101753.2,101769.3,62.645,6375188.7542
0,2025-01-17 17:48:00,101769.4,101815.0,101763.5,101776.5,31.384,3194497.8242
0,2025-01-17 17:49:00,101776.5,101802.4,101762.9,101783.6,46.739,4757483.0679
0,2025-01-17 17:50:00,101783.9,101793.4,101760.0,101766.1,33.618,3421372.3086
0,2025-01-17 17:51:00,101727.1,101773.8,101708.9,101771.5,130.333,13260167.5398
0,2025-01-17 17:52:00,101771.5,101816.8,101771.4,101816.8,70.28,7154395.547
0,2025-01-17 17:53:00,101816.8,101866.5,101802.4,101836.6,106.533,10849509.5036
0,2025-01-17 17:54:00,101836.5,101908.7,101836.5,101887.8,107.733,10976182.8017
0,2025-01-17 17:55:00,101887.9,101900.0,101763.6,101783.5,179.045,18232802.9814
0,2025-01-17 17:56:00,101746.0,101746.1,101676.3,101728.9,233.635,23762880.1231
0,2025-01-17 17:57:00,101729.0,101769.5,101712.8,101762.5,47.47,4829489.8838
0,2025-01-17 17:58:00,101762.5,101800.2,101762.5,101777.3,39.706,4041240.4317
0,2025-01-17 17:59:00,101777.2,101820.0,101777.2,101800.6,38.487,3918291.2545
0,2025-01-17 18:00:00,101800.6,101857.9,101800.5,101857.9,46.374,4722282.9957
0,2025-01-17 18:01:00,101841.7,101861.7,101781.0,101781.1,43.71,4450756.1029
0,2025-01-17 18:02:00,101781.0,101787.8,101762.6,101787.8,67.225,6841585.333
0,2025-01-17 18:03:00,101787.8,101817.8,101737.7,101745.0,38.602,3928604.4772
0,2025-01-17 18:04:00,101744.9,101866.8,101744.9,101846.4,48.02,4889551.6804
0,2025-01-17 18:05:00,101846.5,101866.8,101806.9,101866.8,52.535,5350152.5578
0,2025-01-17 18:07:00,101847.7,101897.3,101840.0,101888.7,35.565,3623297.3723
0,2025-01-17 18:08:00,101888.7,101922.9,101885.6,101922.8,69.705,7103141.2554
0,2025-01-17 18:09:00,101922.8,101926.3,101901.1,101926.3,70.803,7215589.0548
0,2025-01-17 18:10:00,101926.3,101988.1,101919.0,101945.1,208.749,21283476.5953
0,2025-01-17 18:11:00,101945.2,101945.2,101916.2,101916.2,2.621,267167.3413
0,2025-01-17 18:12:00,101957.2,102000.0,101887.4,101992.0,191.145,19488454.3425
0,2025-01-17 18:13:00,101992.0,102099.9,101992.0,102080.3,407.082,41544455.8073
0,2025-01-17 18:14:00,102080.3,102080.3,101994.0,101994.0,120.391,12285606.6949
0,2025-01-17 18:15:00,101994.1,102015.4,101968.5,101977.1,106.586,10870160.6824
0,2025-01-17 18:16:00,101977.0,101985.3,101974.3,101974.4,9.394,957964.5964
0,2025-01-17 18:17:00,102010.0,102075.7,102006.0,102071.4,102.606,10471441.0187
0,2025-01-17 18:18:00,102071.5,102071.5,101974.6,101990.4,105.479,10760405.3536
0,2025-01-17 18:19:00,101990.3,102044.0,101950.1,102029.1,457.335,46656270.5251
0,2025-01-17 18:20:00,102029.2,102136.0,102029.2,102100.1,143.562,14659562.8061
0,2025-01-17 18:21:00,102100.1,102100.2,102048.1,102048.2,34.145,3485099.9473
0,2025-01-17 18:22:00,102040.0,102075.8,102000.0,102070.0,82.096,8375978.0988
