2025-01-18 12:14:00, 104232.99155844156, 104148.97612903226
2025-01-18 12:15:00, 104232.99155844156, 104148.97612903226
2025-01-18 12:16:00, 104232.99155844156, 104148.97612903226
2025-01-18 12:17:00, 104232.99155844156, 104148.97612903226
2025-01-18 12:18:00, 104232.99155844156, 104148.97612903226
2025-01-18 12:19:00, 104232.99155844156, 104148.97612903226
2025-01-18 12:20:00, 104225.20322580646, 104148.97612903226
2025-01-18 12:21:00, 104225.20322580646, 104148.97612903226
2025-01-18 12:22:00, 104225.20322580646, 104148.97612903226
2025-01-18 12:23:00, 104225.20322580646, 104140.97051282051
2025-01-18 12:24:00, 104225.20322580646, 104140.97051282051
2025-01-18 12:25:00, 104225.20322580646, 104140.97051282051
2025-01-18 12:26:00, 104215.81474358974, 104140.97051282051
2025-01-18 12:27:00, 104215.81474358974, 104140.97051282051
2025-01-18 12:28:00, 104215.81474358974, 104140.97051282051
2025-01-18 12:29:00, 104215.81474358974, 104133.55859872611
2025-01-18 12:30:00, 104215.81474358974, 104133.55859872611
2025-01-18 12:31:00, 104215.81474358974, 104133.55859872611
2025-01-18 12:32:00, 104215.81474358974, 104133.55859872611
2025-01-18 12:33:00, 104215.81474358974, 104128.2329113924
