date,a,b
2025-01-22 17:13:00, 104986.70000000001, 105000.7
2025-01-22 17:15:00, 104982.6, 105000.7
2025-01-22 17:20:00, 104976.45, 105000.7
2025-01-22 17:29:00, 104980.92, 105000.7
2025-01-22 17:30:00, 104980.92, 104995.4
2025-01-22 17:32:00, 104988.01666666666, 104995.4
2025-01-22 17:33:00, 104988.01666666666, 104995.4
2025-01-22 17:35:00, 104988.01666666666, 104981.15
2025-01-22 17:36:00, 104995.7, 104981.15
2025-01-22 17:37:00, 104995.7, 104983.24
2025-01-22 17:39:00, 104996.975, 104983.24
2025-01-22 17:40:00, 104996.975, 104983.16666666667
2025-01-22 17:41:00, 105014.72222222222, 104983.16666666667
2025-01-22 17:42:00, 105014.72222222222, 104998.84285714285
2025-01-22 17:46:00, 105014.72222222222, 105008.6
2025-01-22 17:50:00, 105018.51, 105008.6
2025-01-22 17:51:00, 105018.51, 105009.28888888888
2025-01-22 17:53:00, 105014.95454545454, 105009.28888888888
2025-01-22 17:54:00, 105014.95454545454, 105004.48
2025-01-22 17:55:00, 105012.65833333333, 105004.48
2025-01-22 17:56:00, 105012.65833333333, 105000.14545454545
2025-01-22 17:57:00, 105010.0, 105000.14545454545
2025-01-22 17:58:00, 105010.0, 104996.75
2025-01-22 17:59:00, 105005.57857142857, 104996.75
2025-01-22 18:01:00, 105005.57857142857, 104987.92307692308
2025-01-22 18:04:00, 105005.57857142857, 104971.24285714286
2025-01-22 18:07:00, 104989.27333333333, 104971.24285714286
2025-01-22 18:08:00, 104989.27333333333, 104958.52666666667
2025-01-22 18:10:00, 104978.51875, 104958.52666666667
2025-01-22 18:11:00, 104978.51875, 104945.5
2025-01-22 18:12:00, 104967.47647058824, 104945.5
2025-01-22 18:22:00, 104967.47647058824, 104938.77647058823
2025-01-22 18:24:00, 104957.36666666667, 104938.77647058823
2025-01-22 18:28:00, 104957.36666666667, 104938.38333333333
2025-01-22 18:34:00, 104957.36666666667, 104940.55263157895
2025-01-22 18:40:00, 104960.7052631579, 104940.55263157895
2025-01-22 18:41:00, 104960.7052631579, 104942.995
2025-01-22 18:44:00, 104960.7052631579, 104945.91904761904
2025-01-22 18:46:00, 104961.715, 104945.91904761904
2025-01-22 18:51:00, 104961.715, 104950.80454545455
2025-01-22 18:56:00, 104961.715, 104958.12608695652
2025-01-22 18:59:00, 104961.715, 104964.5375
2025-01-22 19:04:00, 104961.715, 104967.54
