date,a,b
2025-01-23 15:31:00, 102262.7, 102292.4
2025-01-23 15:34:00, 102278.95, 102292.4
2025-01-23 15:37:00, 102331.8, 102292.4
2025-01-23 15:38:00, 102331.8, 102358.04999999999
2025-01-23 15:40:00, 102331.8, 102401.83333333333
2025-01-23 15:44:00, 102344.475, 102401.83333333333
2025-01-23 15:49:00, 102344.475, 102455.9
2025-01-23 15:51:00, 102401.08, 102455.9
2025-01-23 15:53:00, 102401.08, 102482.95999999999
2025-01-23 15:59:00, 102401.08, 102513.86666666667
2025-01-23 16:02:00, 102435.16666666667, 102513.86666666667
2025-01-23 16:03:00, 102435.16666666667, 102522.87142857142
2025-01-23 16:05:00, 102452.02857142857, 102522.87142857142
2025-01-23 16:09:00, 102446.25, 102522.87142857142
2025-01-23 16:12:00, 102446.25, 102505.8125
2025-01-23 16:13:00, 102445.92222222222, 102505.8125
2025-01-23 16:18:00, 102454.37, 102505.8125
2025-01-23 16:22:00, 102454.37, 102481.2111111111
2025-01-23 16:23:00, 102441.87272727273, 102481.2111111111
2025-01-23 16:27:00, 102441.87272727273, 102469.89
2025-01-23 16:30:00, 102435.10833333334, 102469.89
2025-01-23 16:34:00, 102426.05384615384, 102469.89
2025-01-23 16:36:00, 102417.36428571428, 102469.89
2025-01-23 16:41:00, 102413.86, 102460.33636363636
2025-01-23 16:43:00, 102409.68125, 102460.33636363636
2025-01-23 16:47:00, 102409.68125, 102455.375
2025-01-23 16:50:00, 102397.81176470588, 102455.375
2025-01-23 16:51:00, 102397.81176470588, 102434.56153846154
2025-01-23 16:54:00, 102382.91111111111, 102434.56153846154
2025-01-23 16:57:00, 102382.91111111111, 102418.67857142857
2025-01-23 16:58:00, 102372.85789473684, 102418.67857142857
2025-01-23 17:01:00, 102372.85789473684, 102402.66666666667
2025-01-23 17:06:00, 102372.85789473684, 102396.84375
2025-01-23 17:10:00, 102372.85789473684, 102387.27058823529
2025-01-23 17:11:00, 102370.79, 102387.27058823529
2025-01-23 17:15:00, 102370.79, 102387.24444444444
2025-01-23 17:26:00, 102362.85714285714, 102387.24444444444
2025-01-23 17:31:00, 102362.85714285714, 102375.65263157895
2025-01-23 17:35:00, 102343.06363636363, 102375.65263157895
2025-01-23 17:40:00, 102325.7, 102375.65263157895
2025-01-23 17:41:00, 102325.7, 102353.35
2025-01-23 17:42:00, 102310.50833333333, 102353.35
2025-01-23 17:43:00, 102310.50833333333, 102334.80476190476
2025-01-23 17:46:00, 102293.648, 102334.80476190476
2025-01-23 17:49:00, 102293.648, 102312.11363636363
2025-01-23 17:51:00, 102293.648, 102289.24782608695
2025-01-23 17:54:00, 102268.30384615384, 102289.24782608695
2025-01-23 17:58:00, 102268.30384615384, 102263.6625
2025-01-23 17:59:00, 102246.17037037037, 102263.6625
2025-01-23 18:00:00, 102246.17037037037, 102239.556
2025-01-23 18:01:00, 102226.75357142858, 102239.556
2025-01-23 18:03:00, 102226.75357142858, 102217.15
2025-01-23 18:05:00, 102209.61034482758, 102217.15
2025-01-23 18:08:00, 102194.07333333333, 102217.15
2025-01-23 18:09:00, 102194.07333333333, 102197.95555555556
2025-01-23 18:12:00, 102177.60967741936, 102197.95555555556
2025-01-23 18:13:00, 102177.60967741936, 102180.625
2025-01-23 18:18:00, 102177.60967741936, 102168.01034482759
2025-01-23 18:19:00, 102167.08125, 102168.01034482759
2025-01-23 18:20:00, 102167.08125, 102157.04333333333
2025-01-23 18:21:00, 102158.91515151515, 102157.04333333333
2025-01-23 18:24:00, 102158.91515151515, 102149.77096774193
2025-01-23 18:25:00, 102152.72941176471, 102149.77096774193
2025-01-23 18:28:00, 102152.72941176471, 102143.340625
2025-01-23 18:31:00, 102147.72285714286, 102143.340625
2025-01-23 18:32:00, 102147.72285714286, 102136.01818181819
2025-01-23 18:33:00, 102142.28333333333, 102136.01818181819
2025-01-23 18:35:00, 102142.28333333333, 102126.8794117647
2025-01-23 18:43:00, 102122.58378378379, 102126.8794117647
2025-01-23 18:46:00, 102122.58378378379, 102103.87714285715
2025-01-23 18:49:00, 102122.58378378379, 102085.25
2025-01-23 18:51:00, 102104.75, 102085.25
2025-01-23 18:52:00, 102104.75, 102066.18648648649
2025-01-23 18:53:00, 102087.0717948718, 102066.18648648649
2025-01-23 18:56:00, 102087.0717948718, 102050.6
2025-01-23 18:57:00, 102072.975, 102050.6
2025-01-23 19:04:00, 102068.83658536585, 102050.6
2025-01-23 19:05:00, 102068.83658536585, 102045.18717948718
2025-01-23 19:11:00, 102061.09285714285, 102045.18717948718
2025-01-23 19:12:00, 102061.09285714285, 102037.755
2025-01-23 19:17:00, 102061.09285714285, 102036.53170731707
2025-01-23 19:19:00, 102059.21627906976, 102036.53170731707
2025-01-23 19:23:00, 102059.21627906976, 102037.03571428571
