date,a,b
2022-01-10 08:08:00, 41889.6, 41909.3
2022-01-10 08:12:00, 41879.83, 41909.3
2022-01-10 08:16:00, 41890.736666666664, 41909.3
2022-01-10 08:18:00, 41890.736666666664, 41919.17
2022-01-10 08:19:00, 41905.7525, 41919.17
2022-01-10 08:21:00, 41905.7525, 41923.28
2022-01-10 08:23:00, 41920.402, 41937.21
2022-01-10 08:25:00, 41920.402, 41943.622
2022-01-10 08:35:00, 41920.402, 41933.01666666666
2022-01-10 08:38:00, 41900.14666666667, 41933.01666666666
2022-01-10 08:44:00, 41869.25714285715, 41933.01666666666
2022-01-10 08:46:00, 41846.83625, 41933.01666666666
2022-01-10 08:50:00, 41832.9, 41933.01666666666
2022-01-10 08:55:00, 41832.9, 41902.55857142857
2022-01-10 09:00:00, 41811.018000000004, 41902.55857142857
2022-01-10 09:02:00, 41795.75090909091, 41902.55857142857
2022-01-10 09:10:00, 41788.465000000004, 41902.55857142857
2022-01-10 09:11:00, 41788.465000000004, 41872.73625
2022-01-10 09:12:00, 41781.801538461536, 41872.73625
2022-01-10 09:15:00, 41781.801538461536, 41855.438888888886
2022-01-10 09:26:00, 41781.801538461536, 41838.266
2022-01-10 09:31:00, 41781.801538461536, 41825.042727272725
2022-01-10 09:34:00, 41779.41785714286, 41825.042727272725
2022-01-10 09:36:00, 41779.41785714286, 41817.95583333333
2022-01-10 09:37:00, 41776.79, 41817.95583333333
2022-01-10 09:41:00, 41776.79, 41807.13076923077
2022-01-10 09:45:00, 41769.5975, 41807.13076923077
2022-01-10 09:46:00, 41769.5975, 41796.67857142857
2022-01-10 10:01:00, 41771.75235294118, 41796.67857142857
2022-01-10 10:03:00, 41771.75235294118, 41797.36666666667
2022-01-10 10:06:00, 41772.121666666666, 41797.36666666667
2022-01-10 10:08:00, 41770.744736842105, 41797.36666666667
2022-01-10 10:10:00, 41771.453, 41797.36666666667
2022-01-10 10:14:00, 41771.453, 41794.1675
2022-01-10 10:17:00, 41770.64, 41794.1675
2022-01-10 10:21:00, 41772.97863636364, 41794.1675
2022-01-10 10:29:00, 41777.65347826087, 41794.1675
2022-01-10 10:30:00, 41777.65347826087, 41798.42941176471
2022-01-10 10:31:00, 41781.83375, 41798.42941176471
2022-01-10 10:35:00, 41781.83375, 41803.91388888889
2022-01-10 10:38:00, 41781.83375, 41807.695789473684
2022-01-10 10:42:00, 41787.8732, 41807.695789473684
2022-01-10 10:46:00, 41787.8732, 41813.8465
2022-01-10 10:51:00, 41787.8732, 41820.07095238095
2022-01-10 10:54:00, 41792.676538461536, 41820.07095238095
2022-01-10 11:02:00, 41795.597037037034, 41820.07095238095
2022-01-10 11:04:00, 41798.14892857143, 41820.07095238095
2022-01-10 11:06:00, 41801.488965517245, 41820.07095238095
2022-01-10 11:10:00, 41803.772666666664, 41820.07095238095
2022-01-10 11:19:00, 41805.661612903226, 41820.07095238095
2022-01-10 11:32:00, 41809.8115625, 41820.07095238095
2022-01-10 11:44:00, 41813.04787878788, 41820.07095238095
2022-01-10 11:46:00, 41813.04787878788, 41824.935909090906
