date,a,b
2022-01-12 08:11:00, 42797.98, 42815.38
2022-01-12 08:16:00, 42797.98, 42852.075
2022-01-12 08:24:00, 42767.965, 42852.075
2022-01-12 08:29:00, 42785.04666666667, 42852.075
2022-01-12 08:31:00, 42785.04666666667, 42814.933333333334
2022-01-12 08:39:00, 42751.2875, 42814.933333333334
2022-01-12 08:40:00, 42751.2875, 42767.61
2022-01-12 08:42:00, 42727.166, 42767.61
2022-01-12 08:43:00, 42727.166, 42740.136
2022-01-12 08:46:00, 42701.97, 42740.136
2022-01-12 08:51:00, 42701.97, 42728.64
2022-01-12 08:56:00, 42701.97, 42722.055714285714
2022-01-12 08:58:00, 42697.55428571429, 42722.055714285714
2022-01-12 08:59:00, 42697.55428571429, 42714.87
2022-01-12 09:01:00, 42691.0, 42714.87
2022-01-12 09:20:00, 42678.58666666667, 42714.87
2022-01-12 09:28:00, 42678.58666666667, 42707.782222222224
2022-01-12 09:30:00, 42675.561, 42707.782222222224
2022-01-12 09:31:00, 42675.561, 42700.269
2022-01-12 09:32:00, 42672.865454545456, 42700.269
2022-01-12 09:36:00, 42672.865454545456, 42696.61727272727
2022-01-12 09:43:00, 42664.71, 42696.61727272727
2022-01-12 10:02:00, 42664.71, 42689.51666666667
2022-01-12 10:03:00, 42661.193076923075, 42689.51666666667
2022-01-12 10:16:00, 42661.193076923075, 42683.39153846154
2022-01-12 10:23:00, 42661.193076923075, 42678.362857142856
2022-01-12 10:28:00, 42655.705714285716, 42678.362857142856
2022-01-12 10:35:00, 42655.705714285716, 42673.382666666665
2022-01-12 10:42:00, 42649.943333333336, 42673.382666666665
2022-01-12 10:43:00, 42649.943333333336, 42665.8375
2022-01-12 10:46:00, 42639.25375, 42665.8375
2022-01-12 10:48:00, 42628.78764705882, 42665.8375
2022-01-12 10:53:00, 42628.78764705882, 42656.05764705883
2022-01-12 10:56:00, 42621.747777777775, 42656.05764705883
2022-01-12 11:01:00, 42621.747777777775, 42649.52166666667
2022-01-12 11:03:00, 42621.747777777775, 42642.388947368425
2022-01-12 11:21:00, 42621.747777777775, 42639.19
2022-01-12 11:23:00, 42621.747777777775, 42635.87142857143
2022-01-12 11:31:00, 42620.352105263155, 42635.87142857143
2022-01-12 11:34:00, 42620.6385, 42635.87142857143
2022-01-12 11:38:00, 42621.11714285715, 42635.87142857143
2022-01-12 11:43:00, 42620.777727272725, 42635.87142857143
2022-01-12 11:45:00, 42620.777727272725, 42634.39909090909
2022-01-12 11:53:00, 42620.777727272725, 42632.07956521739
2022-01-12 11:58:00, 42620.777727272725, 42630.277916666666
2022-01-12 12:01:00, 42620.777727272725, 42628.8216
2022-01-12 12:03:00, 42619.50260869565, 42628.8216
2022-01-12 12:05:00, 42619.5225, 42628.8216
2022-01-12 12:10:00, 42619.5225, 42631.233846153846
2022-01-12 12:14:00, 42622.13, 42631.233846153846
2022-01-12 12:15:00, 42622.13, 42632.31444444445
2022-01-12 12:25:00, 42622.13, 42632.98857142857
2022-01-12 12:39:00, 42622.13, 42629.38896551724
2022-01-12 12:41:00, 42618.99653846154, 42629.38896551724
2022-01-12 12:48:00, 42618.99653846154, 42627.55466666667
2022-01-12 12:53:00, 42616.22592592593, 42627.55466666667
2022-01-12 12:57:00, 42615.35857142857, 42627.55466666667
2022-01-12 12:58:00, 42615.35857142857, 42626.03709677419
2022-01-12 12:59:00, 42615.323793103445, 42626.03709677419
2022-01-12 13:08:00, 42615.323793103445, 42626.4271875
2022-01-12 13:19:00, 42615.323793103445, 42627.38848484849
2022-01-12 13:22:00, 42615.323793103445, 42628.876470588235
2022-01-12 13:40:00, 42618.26533333334, 42628.876470588235
2022-01-12 13:52:00, 42620.46064516129, 42628.876470588235
2022-01-12 13:54:00, 42620.46064516129, 42629.75457142857
2022-01-12 13:56:00, 42621.820625, 42629.75457142857
2022-01-12 14:01:00, 42621.820625, 42631.8225
2022-01-12 14:03:00, 42624.36151515152, 42631.8225
2022-01-12 14:10:00, 42624.36151515152, 42632.453243243246
2022-01-12 14:13:00, 42625.903529411764, 42633.62
2022-01-12 14:15:00, 42625.903529411764, 42634.168205128204
2022-01-12 14:19:00, 42625.903529411764, 42634.1385
2022-01-12 14:32:00, 42625.903529411764, 42638.53268292683
2022-01-12 14:39:00, 42628.315142857144, 42638.53268292683
2022-01-12 14:42:00, 42630.58416666667, 42640.23428571429
2022-01-12 14:55:00, 42629.8272972973, 42640.23428571429
2022-01-12 14:57:00, 42629.49421052632, 42639.69790697675
2022-01-12 15:02:00, 42628.777435897435, 42639.69790697675
2022-01-12 15:06:00, 42628.777435897435, 42638.36386363636
2022-01-12 15:13:00, 42626.4035, 42638.36386363636
2022-01-12 15:16:00, 42626.4035, 42634.93711111111
2022-01-12 15:18:00, 42626.4035, 42631.05760869565
2022-01-12 15:19:00, 42622.87975609756, 42631.05760869565
2022-01-12 15:22:00, 42619.48952380953, 42631.05760869565
2022-01-12 15:26:00, 42619.48952380953, 42628.16595744681
2022-01-12 15:40:00, 42619.48952380953, 42627.394791666666
2022-01-12 15:58:00, 42619.48952380953, 42625.692653061225
2022-01-12 15:59:00, 42617.87558139535, 42625.692653061225
2022-01-12 16:03:00, 42617.307272727274, 42625.692653061225
2022-01-12 16:11:00, 42617.307272727274, 42626.039000000004
2022-01-12 16:19:00, 42617.307272727274, 42626.127843137256
2022-01-12 16:21:00, 42618.25577777778, 42626.127843137256
2022-01-12 16:26:00, 42618.25577777778, 42625.40134615385
2022-01-12 16:31:00, 42618.17586956522, 42625.40134615385
2022-01-12 16:36:00, 42618.17586956522, 42624.40169811321
2022-01-12 16:43:00, 42617.45936170213, 42624.40169811321
2022-01-12 16:45:00, 42617.11645833333, 42624.40169811321
2022-01-12 16:53:00, 42617.11645833333, 42624.59222222222
2022-01-12 17:01:00, 42616.501224489795, 42624.59222222222
2022-01-12 17:03:00, 42617.7352, 42624.59222222222
2022-01-12 17:13:00, 42617.7352, 42625.52672727273
2022-01-12 17:24:00, 42617.7352, 42628.18267857143
2022-01-12 17:27:00, 42617.7352, 42631.96666666667
2022-01-12 17:33:00, 42621.11294117647, 42631.96666666667
2022-01-12 17:40:00, 42622.42692307692, 42631.96666666667
2022-01-12 17:52:00, 42622.42692307692, 42632.75068965517
2022-01-12 18:02:00, 42625.02283018868, 42632.75068965517
